Quadratic DLL - Performance Test
Started : 2026-04-15 23:06:20
Duration: 30 min, sample every 10s
================================================================================

 Elapsed   ProcCPU%   SysCPU%   ProcRAM MB   SysRAM%    Calls/s   AvgLat us   MaxLat us    TotalCalls
    800s       0.0%     23.5%       21.29     43.2%        0.0        0.00        0.00           629
    810s       0.0%     22.4%       21.32     43.2%        1.6  1251214.28  20019280.20           645
    820s       0.0%     23.1%       21.32     43.2%        0.0        0.00        0.00           645
    830s       0.0%     24.0%       21.36     43.2%        1.6  1250978.04  20015519.90           661
    840s       0.0%     22.9%       21.36     43.0%        0.0        0.00        0.00           661
    850s       0.0%     22.5%       21.40     43.0%        1.6  1251089.61  20017307.60           677
    860s       0.0%     23.2%       21.40     43.0%        0.0        0.00        0.00           677
    870s       0.2%     23.7%       21.44     42.6%        1.6  1251004.79  20015953.00           693
    880s       0.0%     22.8%       21.44     42.7%        0.0        0.00        0.00           693
    890s       0.0%     25.4%       21.57     42.5%        1.6  1250952.42  20015062.80           709
    900s       0.0%     23.9%       21.57     42.5%        0.0        0.00        0.00           709
    910s       0.0%     21.8%       21.61     42.5%        1.6  1251183.36  20018795.40           725
    920s       0.0%     23.9%       21.61     42.6%        0.0        0.00        0.00           725
    930s       0.0%     36.6%       21.66     45.5%        1.6  1250998.17  20015830.60           741
    940s       0.0%     31.9%       21.66     44.2%        0.0        0.00        0.00           741
    950s       0.0%     38.4%       21.70     45.6%        1.6  1250532.78  20008209.70           757
    960s       0.0%     46.7%       21.70     43.8%        0.0        0.00        0.00           757
    970s       0.0%     34.0%       21.73     44.3%        1.6  1250642.76  20010061.70           773
    980s       0.0%     42.6%       21.73     44.9%        0.0        0.00        0.00           773
    990s       0.0%     62.6%       21.77     46.7%        1.6  1251422.19  20022514.10           789
   1000s       0.0%     33.4%       21.77     46.0%        0.0        0.00        0.00           789
   1010s       0.0%     35.7%       21.79     45.0%        1.6  1250966.28  20015170.30           805
   1020s       0.0%     36.6%       21.79     44.0%        0.0        0.00        0.00           805
   1030s       0.0%     93.2%       21.83     44.5%        1.6  1251103.17  20017430.30           821
   1040s       0.0%     44.4%       21.83     43.7%        0.0        0.00        0.00           821
   1050s       0.0%     34.6%       21.87     43.6%        1.6  1250867.04  20013668.40           837
   1060s       0.0%     34.1%       21.87     43.5%        0.0        0.00        0.00           837
   1070s       0.0%     34.4%       21.90     45.9%        1.6  1250119.67  20001722.40           853
   1080s       0.2%     33.7%       21.90     45.0%        0.0        0.00        0.00           853
   1090s       0.0%     36.5%       21.94     44.1%        1.6  1251038.61  20016407.70           869
   1100s       0.0%     27.4%       21.94     43.9%        0.0        0.00        0.00           869
   1110s       0.0%     23.4%       21.97     44.0%        1.6  1250886.54  20014000.00           885
   1120s       0.0%     23.0%       21.98     43.9%        0.0        0.00        0.00           885
   1130s       0.0%     22.3%       22.01     43.8%        1.6  1251177.61  20018684.60           901
   1140s       0.0%     23.3%       22.01     43.8%        0.0        0.00        0.00           901
   1150s       0.0%     24.8%       22.05     43.6%        1.6  1250942.69  20014937.50           917
   1160s       0.0%     23.1%       22.05     43.5%        0.0        0.00        0.00           917
   1170s       0.0%     30.2%       22.19     43.8%        1.6  1250983.19  20015521.60           933
   1180s       0.0%     23.6%       22.19     43.8%        0.0        0.00        0.00           933
   1190s       0.0%     22.6%       22.22     43.8%        1.6  1251160.92  20018378.10           949
   1200s       0.0%     23.0%       22.22     43.7%        0.0        0.00        0.00           949
   1210s       0.0%     22.9%       22.26     43.6%        1.6  1251001.39  20015829.70           965
   1220s       0.2%     26.5%       22.27     43.0%        0.0        0.00        0.00           965
   1230s       0.0%     34.9%       22.30     43.3%        1.6  1251123.21  20017785.70           981
   1240s       0.0%     31.5%       22.30     44.1%        0.0        0.00        0.00           981
   1250s       0.0%     31.2%       22.41     44.1%        1.6  1251047.67  20016561.80           997
   1260s       0.0%     31.1%       22.41     44.0%        0.0        0.00        0.00           997
   1270s       0.0%     32.3%       22.45     44.1%        1.6  1250913.32  20014472.30         1,013
   1280s       0.0%     31.2%       22.45     44.0%        0.0        0.00        0.00         1,013
   1290s       0.0%     32.6%       22.49     44.1%        1.6  1251211.50  20019199.00         1,029
   1300s       0.0%     31.6%       22.49     43.9%        0.0        0.00        0.00         1,029
   1310s       0.0%     31.3%       22.53     43.9%        1.6  1250879.19  20013897.20         1,045
   1320s       0.0%     36.9%       22.53     44.0%        0.0        0.00        0.00         1,045
   1330s       0.0%     31.4%       22.56     43.9%        1.6  1251150.17  20018259.10         1,061
   1340s       0.0%     30.8%       22.56     43.9%        0.0        0.00        0.00         1,061
   1350s       0.0%     32.8%       22.62     43.9%        1.6  1251099.73  20017444.70         1,077
   1360s       0.0%     32.0%       22.62     43.9%        0.0        0.00        0.00         1,077
   1370s       0.0%     31.6%       22.65     43.9%        1.6  1250894.11  20014048.60         1,093
   1380s       0.0%     32.5%       22.65     43.8%        0.0        0.00        0.00         1,093
   1390s       0.0%     32.0%       22.69     43.5%        1.6  1251227.39  20019493.10         1,109
   1400s       0.0%     32.3%       22.69     42.9%        0.0        0.00        0.00         1,109
   1410s       0.0%     31.1%       22.72     43.0%        1.6  1250923.88  20014579.60         1,125
   1420s       0.0%     32.5%       22.73     43.0%        0.0        0.00        0.00         1,125
   1430s       0.0%     32.5%       22.76     42.9%        1.6  1251149.28  20018215.00         1,141
   1440s       0.0%     31.8%       22.76     42.6%        0.0        0.00        0.00         1,141
   1450s       0.0%     36.9%       22.90     42.9%        1.6  1251064.07  20016891.30         1,157
